building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area
東京都新宿区高田馬場３丁目,アパート,東京都新宿区高田馬場３丁目,3階建て, 西武鉄道新宿線 下落合駅/徒歩7分ＪＲ山手線 高田馬場駅/徒歩10分西武鉄道新宿線 中井駅/徒歩16分,築6年,軽量鉄骨,2階,9.9万円,"5,000円",－,1ヶ月,1K,27.92m²
ルーブル新宿原町,マンション,東京都新宿区原町３丁目,12階建て, 都営大江戸線 若松河田駅/徒歩4分都営大江戸線 牛込柳町駅/徒歩4分東京メトロ東西線 早稲田駅/徒歩12分,築6年,鉄筋コンクリート,5階,10.2万円,"9,000円",－,1ヶ月,1K,25.69m²
プレミアムキューブＧ四谷左門町,マンション,東京都新宿区左門町,13階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分ＪＲ総武線 信濃町駅/徒歩7分ＪＲ総武線 四ツ谷駅/徒歩15分,築10年,鉄筋コンクリート,7階,11.4万円,"18,000円",－,"114,000円",1R,25.56m²
東京都新宿区西早稲田２丁目,マンション,東京都新宿区西早稲田２丁目,10階建て, 東京メトロ副都心線 西早稲田駅/徒歩7分都電荒川線 面影橋駅/徒歩7分都電荒川線 早稲田駅/徒歩11分,築9年,鉄筋コンクリート,3階,13万円,"3,000円",－,1ヶ月,1K,26.15m²
東京都新宿区弁天町,マンション,東京都新宿区弁天町,4階建て, 東京メトロ東西線 早稲田駅/徒歩8分東京メトロ東西線 神楽坂駅/徒歩8分都営大江戸線 牛込柳町駅/徒歩9分,築11年,鉄骨造,1階,8.8万円,"3,000円",1ヶ月,1ヶ月,1R,24.84m²
ルリオン西新宿,マンション,東京都新宿区西新宿５丁目,13階建て, 都営大江戸線 西新宿五丁目駅/徒歩1分都営大江戸線 都庁前駅/徒歩10分東京メトロ丸ノ内線 中野坂上駅/徒歩12分,築11年,鉄筋コンクリート,13階,10.8万円,－,1ヶ月,1ヶ月,1R,26.82m²
ラ・トゥール新宿グランド,マンション,東京都新宿区西新宿８丁目,40階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩3分都営大江戸線 都庁前駅/徒歩7分ＪＲ山手線 新宿駅/徒歩14分,築11年,鉄骨鉄筋コンクリート,8階,27.2万円,－,2ヶ月,－,1K,39m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.98m²
東京都新宿区西新宿８丁目,マンション,東京都新宿区西新宿８丁目,4階建て, ＪＲ山手線 新宿駅/徒歩14分東京メトロ丸ノ内線 西新宿駅/徒歩2分都営大江戸線 都庁前駅/徒歩9分,築12年,鉄筋コンクリート,2階,14.6万円,"5,000円",1ヶ月,1ヶ月,1DK,37.71m²
ｆｅｅｔｈ神楽坂,マンション,東京都新宿区北山伏町,7階建て, 都営大江戸線 牛込神楽坂駅/徒歩4分東京メトロ東西線 神楽坂駅/徒歩8分都営大江戸線 牛込柳町駅/徒歩9分,築13年,鉄筋コンクリート,2階,18.5万円,－,"185,000円","185,000円",1LDK,45.89m²
ドミール北新宿２,マンション,東京都新宿区北新宿１丁目,12階建て, ＪＲ総武線 大久保駅/徒歩3分ＪＲ山手線 新大久保駅/徒歩7分西武鉄道新宿線 西武新宿駅/徒歩9分,築14年,鉄骨鉄筋コンクリート,9階,8.5万円,"8,500円",1ヶ月,1ヶ月,1K,21m²
東京都新宿区北新宿１丁目,マンション,東京都新宿区北新宿１丁目,12階建て, ＪＲ総武線 大久保駅/徒歩3分ＪＲ山手線 新大久保駅/徒歩7分西武鉄道新宿線 西武新宿駅/徒歩9分,築14年,鉄骨鉄筋コンクリート,9階,8.5万円,"8,500円",1ヶ月,1ヶ月,1K,21m²
カスタリア市ヶ谷,マンション,東京都新宿区市谷薬王寺町,6階建て, 都営大江戸線 牛込柳町駅/徒歩5分都営新宿線 曙橋駅/徒歩10分都営大江戸線 若松河田駅/徒歩13分,築14年,鉄筋コンクリート,1階,10.6万円,"10,000円",1ヶ月,－,1R,24.29m²
東京都新宿区市谷薬王寺町,マンション,東京都新宿区市谷薬王寺町,6階建て, 都営大江戸線 牛込柳町駅/徒歩5分都営新宿線 曙橋駅/徒歩10分都営大江戸線 若松河田駅/徒歩13分,築14年,鉄筋コンクリート,1階,10.6万円,"10,000円",1ヶ月,－,1R,24.29m²
メゾン　ジャルダン南館,アパート,東京都新宿区愛住町,2階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩6分都営新宿線 曙橋駅/徒歩6分東京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,築15年,軽量鉄骨,1階,8.8万円,"3,000円",1ヶ月,1ヶ月,1K,26.49m²
ラ・ステージ坂町,マンション,東京都新宿区四谷坂町,6階建て, 都営新宿線 曙橋駅/徒歩5分東京メトロ丸ノ内線 四ツ谷駅/徒歩12分東京メトロ丸ノ内線 四谷三丁目駅/徒歩11分,築15年,鉄筋コンクリート,5階,13.2万円,"15,000円",－,1ヶ月,1R,33.09m²
セルクル落合,マンション,東京都新宿区上落合１丁目,14階建て, 東京メトロ東西線 落合駅/徒歩5分ＪＲ総武線 東中野駅/徒歩12分都営大江戸線 中井駅/徒歩11分,築16年,鉄筋コンクリート,10階,12.9万円,"10,000円",1ヶ月,1ヶ月,1LDK,43.52m²
新宿７丁目マンション,マンション,東京都新宿区新宿７丁目,3階建て, 都営大江戸線 東新宿駅/徒歩4分都営大江戸線 若松河田駅/徒歩8分東京メトロ副都心線 西早稲田駅/徒歩13分,築16年,鉄筋コンクリート,2階,14.8万円,"8,000円",1ヶ月,1ヶ月,1LDK,38.07m²
ＨＦ西新宿レジデンスＥＡＳＴ,マンション,東京都新宿区西新宿８丁目,13階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩5分ＪＲ総武線 大久保駅/徒歩7分西武鉄道新宿線 西武新宿駅/徒歩7分,築16年,鉄筋コンクリート,7階,15.3万円,"12,000円",1ヶ月,－,1LDK,37.72m²
ファーストリアルタワー新宿,マンション,東京都新宿区西新宿７丁目,32階建て, 都営大江戸線 新宿西口駅/徒歩4分ＪＲ山手線 新宿駅/徒歩8分ＪＲ総武線 大久保駅/徒歩6分,築17年,鉄筋コンクリート,8階,12.8万円,"10,000円",1ヶ月,－,1K,25.76m²
ＡＰＡガーデンズ新宿戸山公園,マンション,東京都新宿区新宿７丁目,11階建て, 都営大江戸線 東新宿駅/徒歩6分ＪＲ山手線 新大久保駅/徒歩11分東京メトロ副都心線 西早稲田駅/徒歩15分,築18年,鉄骨鉄筋コンクリート,1階,11万円,"12,000円",－,－,1DK,30.91m²
コンシェリアＲ四谷,マンション,東京都新宿区左門町,13階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩2分ＪＲ総武線 信濃町駅/徒歩9分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩14分,築20年,鉄骨鉄筋コンクリート,5階,10.5万円,"10,000円",－,1ヶ月,1R,25.15m²
ルネ新宿御苑タワー,マンション,東京都新宿区新宿１丁目,25階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩4分東京メトロ副都心線 新宿三丁目駅/徒歩7分東京メトロ丸ノ内線 四谷三丁目駅/徒歩12分,築20年,鉄骨造,13階,12.9万円,－,"129,000円","129,000円",1R,28.3m²
東京都新宿区北新宿１丁目,アパート,東京都新宿区北新宿１丁目,2階建て, ＪＲ総武線 大久保駅/徒歩8分ＪＲ山手線 新大久保駅/徒歩10分東京メトロ丸ノ内線 西新宿駅/徒歩11分,築21年,木造,1階,7.5万円,"3,000円",－,1ヶ月,1K,16.95m²
パレステュディオ西新宿,マンション,東京都新宿区西新宿５丁目,7階建て, 都営大江戸線 西新宿五丁目駅/徒歩6分東京メトロ丸ノ内線 中野坂上駅/徒歩10分都営大江戸線 都庁前駅/徒歩13分,築21年,鉄筋コンクリート,4階,7.65万円,"8,500円",－,－,1K,21.05m²
シャルレ早稲田,マンション,東京都新宿区西早稲田３丁目,3階建て, 都電荒川線 面影橋駅/徒歩2分都電荒川線 早稲田駅/徒歩6分都電荒川線 学習院下駅/徒歩8分,築23年,鉄骨造,1階,7.5万円,"3,000円",1ヶ月,1ヶ月,1K,18.22m²
スカイコート新宿新都心,マンション,東京都新宿区西新宿８丁目,9階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩3分西武鉄道新宿線 西武新宿駅/徒歩8分ＪＲ山手線 新宿駅/徒歩11分,築23年,鉄筋コンクリート,2階,9.35万円,"6,500円",1ヶ月,－,1K,19.71m²
ルート四谷三丁目,マンション,東京都新宿区大京町,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分東京メトロ丸ノ内線 新宿御苑前駅/徒歩9分ＪＲ総武線 信濃町駅/徒歩9分,築23年,鉄筋コンクリート,1階,9万円,"12,000円",－,1ヶ月,1R,27.47m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.98m²
メゾンリーブル,マンション,東京都新宿区西落合４丁目,3階建て, 都営大江戸線 落合南長崎駅/徒歩11分西武池袋・豊島線 東長崎駅/徒歩12分都営大江戸線 新江古田駅/徒歩13分,築24年,鉄骨造,2階,10.5万円,－,1ヶ月,－,2K,44.01m²
東京都新宿区高田馬場４丁目,アパート,東京都新宿区高田馬場４丁目,2階建て, ＪＲ山手線 高田馬場駅/徒歩2分東京メトロ副都心線 西早稲田駅/徒歩13分西武鉄道新宿線 下落合駅/徒歩14分,築25年,木造,1階,8.2万円,"3,000円",1ヶ月,1ヶ月,1K,26.22m²
アクレール落合,アパート,東京都新宿区上落合２丁目,2階建て, 西武鉄道新宿線 中井駅/徒歩4分東京メトロ東西線 落合駅/徒歩7分西武鉄道新宿線 下落合駅/徒歩11分,築30年,軽量鉄骨,1階,7.1万円,"2,000円",1ヶ月,1ヶ月,1K,21.18m²
サンライズビル,マンション,東京都新宿区北新宿４丁目,8階建て, ＪＲ総武線 東中野駅/徒歩8分ＪＲ総武線 大久保駅/徒歩11分東京メトロ東西線 落合駅/徒歩11分,築30年,鉄筋コンクリート,6階,7.2万円,"8,000円",1ヶ月,－,1R,23.4m²
東京都新宿区赤城下町,マンション,東京都新宿区赤城下町,4階建て, 東京メトロ東西線 神楽坂駅/徒歩5分東京メトロ有楽町線 江戸川橋駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩12分,築34年,鉄骨造,3階,7万円,"3,000円",1ヶ月,1ヶ月,1DK,22.2m²
ホームガーデンひたち,マンション,東京都新宿区新宿７丁目,4階建て, 都営大江戸線 東新宿駅/徒歩8分都営大江戸線 若松河田駅/徒歩15分ＪＲ山手線 新大久保駅/徒歩12分,築34年,鉄筋コンクリート,1階,25.5万円,"5,000円",－,－,3LDK,93.4m²
ＳＵＮ　ＳＩＤＥ１０,マンション,東京都新宿区南元町,4階建て, ＪＲ総武線 信濃町駅/徒歩6分都営大江戸線 国立競技場駅/徒歩11分東京メトロ銀座線 青山一丁目駅/徒歩13分,築35年,鉄骨造,2階,9.1万円,"4,000円",1ヶ月,1ヶ月,1DK,22.7m²
東京都新宿区若松町,マンション,東京都新宿区若松町,8階建て, 都営大江戸線 若松河田駅/徒歩2分都営大江戸線 牛込柳町駅/徒歩7分東京メトロ東西線 早稲田駅/徒歩11分,築37年,鉄筋コンクリート,7階,8万円,"10,000円",1ヶ月,－,1K,22.41m²
ライオンズマンション新宿五丁目,マンション,東京都新宿区新宿５丁目,8階建て, 東京メトロ丸ノ内線 新宿三丁目駅/徒歩8分都営大江戸線 東新宿駅/徒歩9分ＪＲ総武線 新宿駅/徒歩10分,築38年,鉄骨鉄筋コンクリート,2階,7.8万円,－,1ヶ月,1ヶ月,1K,20.25m²
ラインビルド新宿御苑,マンション,東京都新宿区四谷４丁目,7階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分都営新宿線 曙橋駅/徒歩10分,築39年,鉄筋コンクリート,4階,6.7万円,"3,000円",1ヶ月,1ヶ月,1R,17.5m²
荒木町ビル,マンション,東京都新宿区荒木町,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分都営新宿線 曙橋駅/徒歩7分東京メトロ南北線 四ツ谷駅/徒歩10分,築39年,鉄骨造,2階,6.9万円,"2,000円",1ヶ月,－,1K,18.9m²
藤和新宿番衆町コープ,マンション,東京都新宿区新宿５丁目,10階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩6分東京メトロ丸ノ内線 新宿三丁目駅/徒歩6分都営大江戸線 東新宿駅/徒歩7分,築39年,鉄骨鉄筋コンクリート,2階,8.3万円,"6,000円","83,000円",－,1R,28.63m²
下落合ハウス,マンション,東京都新宿区下落合１丁目,10階建て, 西武鉄道新宿線 下落合駅/徒歩2分ＪＲ山手線 高田馬場駅/徒歩12分都営大江戸線 中井駅/徒歩12分,築39年,鉄骨鉄筋コンクリート,5階,12.5万円,"5,000円",1ヶ月,1ヶ月,2DK,43.52m²
パークグレース新宿,マンション,東京都新宿区西新宿４丁目,14階建て, 都営大江戸線 都庁前駅/徒歩5分京王電鉄京王線 初台駅/徒歩10分ＪＲ山手線 新宿駅/徒歩15分,築44年,鉄骨鉄筋コンクリート,4階,8万円,"7,000円",1ヶ月,－,1R,26.53m²
東邦ハイツ,マンション,東京都新宿区大京町,3階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩3分ＪＲ総武線 信濃町駅/徒歩7分都営大江戸線 国立競技場駅/徒歩12分,築44年,鉄筋コンクリート,2階,13.5万円,－,1ヶ月,1ヶ月,2DK,40.23m²
ダイアパレス新高,マンション,東京都新宿区市谷八幡町,10階建て, ＪＲ総武線 市ケ谷駅/徒歩3分東京メトロ有楽町線 麹町駅/徒歩9分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩12分,築45年,鉄骨鉄筋コンクリート,7階,14万円,"10,000円",1ヶ月,1ヶ月,1LDK,51.2m²
東京都新宿区荒木町,マンション,東京都新宿区荒木町,5階建て, 都営新宿線 曙橋駅/徒歩2分東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩12分,築46年,鉄筋コンクリート,4階,10.5万円,"10,000円",2ヶ月,1ヶ月,1R,37.9m²
ＺＯＯＭ高田馬場ＷＥＳＴ,マンション,東京都新宿区高田馬場３丁目,6階建て, ＪＲ山手線 高田馬場駅/徒歩13分西武鉄道新宿線 下落合駅/徒歩4分西武鉄道新宿線 中井駅/徒歩13分,築1年,鉄筋コンクリート,1階,11.7万円,"6,000円",－,－,1K,26.09m²
ＰＡＳＥＯ四谷三丁目,マンション,東京都新宿区舟町,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分都営新宿線 曙橋駅/徒歩5分東京メトロ丸ノ内線 新宿御苑前駅/徒歩14分,築1年,鉄筋コンクリート,3階,19万円,"20,000円",－,－,1LDK,43.03m²
リージア曙橋,マンション,東京都新宿区片町,13階建て, 都営新宿線 曙橋駅/徒歩4分東京メトロ丸ノ内線 四谷三丁目駅/徒歩9分東京メトロ丸ノ内線 四ツ谷駅/徒歩12分,築1年,鉄筋コンクリート,13階,24万円,"20,000円",1ヶ月,－,1LDK,47.06m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.31m²
ハレマカニ御苑,マンション,東京都新宿区新宿１丁目,14階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ丸ノ内線 新宿三丁目駅/徒歩8分都営新宿線 曙橋駅/徒歩12分,築2年,鉄筋コンクリート,2階,12.6万円,－,1ヶ月,1ヶ月,1K,27.17m²
ＰＲＥＭＩＵＭ　ＣＵＢＥ　Ｇ　北新宿ＤＥＵＸ,マンション,東京都新宿区北新宿２丁目,4階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ総武線 東中野駅/徒歩12分東京メトロ丸ノ内線 中野坂上駅/徒歩13分,築2年,鉄筋コンクリート,1階,11.95万円,"15,000円","119,500円","119,500円",1K,25.22m²
東京都新宿区高田馬場２丁目,アパート,東京都新宿区高田馬場２丁目,3階建て, ＪＲ山手線 高田馬場駅/徒歩6分東京メトロ副都心線 西早稲田駅/徒歩12分都電荒川線 学習院下駅/徒歩8分,築2年,軽量鉄骨,2階,16.5万円,"5,000円",－,－,1LDK,49.04m²
東京都新宿区赤城下町,マンション,東京都新宿区赤城下町,6階建て, 東京メトロ東西線 神楽坂駅/徒歩3分東京メトロ有楽町線 江戸川橋駅/徒歩8分都営大江戸線 牛込神楽坂駅/徒歩9分,築2年,鉄筋コンクリート,1階,21.3万円,"5,000円",1ヶ月,1ヶ月,1LDK,40.8m²
アヴァンティ高田馬場,アパート,東京都新宿区高田馬場３丁目,3階建て, 西武鉄道新宿線 下落合駅/徒歩8分東京メトロ東西線 落合駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩13分,築3年,木造,2階,7万円,"5,000円",－,－,1R,13.23m²
リーブルグラント西新宿　ＥＡＳＴ,マンション,東京都新宿区西新宿８丁目,14階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩5分都営大江戸線 新宿西口駅/徒歩9分ＪＲ山手線 新宿駅/徒歩13分,築3年,鉄筋コンクリート,5階,12.5万円,"10,000円",1ヶ月,1ヶ月,1K,25.37m²
東京都新宿区大久保２丁目,マンション,東京都新宿区大久保２丁目,3階建て, 東京メトロ副都心線 西早稲田駅/徒歩4分都営大江戸線 東新宿駅/徒歩6分ＪＲ山手線 新大久保駅/徒歩13分,築4年,鉄筋コンクリート,2階,14.5万円,"5,000円",1ヶ月,1ヶ月,1LDK,38.18m²
Ｌａ　ｃａｓａ　ｄｉ　Ｍａｒｉ,アパート,東京都新宿区高田馬場３丁目,3階建て, 西武鉄道新宿線 下落合駅/徒歩7分ＪＲ山手線 高田馬場駅/徒歩10分西武鉄道新宿線 中井駅/徒歩16分,築6年,軽量鉄骨,2階,9.9万円,"5,000円",－,1ヶ月,1K,27.92m²
西新宿ガーデンテラス,テラスハウス,東京都新宿区西新宿３丁目,2階建て, 京王電鉄京王線 初台駅/徒歩5分都営大江戸線 都庁前駅/徒歩11分都営大江戸線 西新宿五丁目駅/徒歩11分,築6年,木造,2階,15万円,"6,000円",1ヶ月,1ヶ月,1LDK,49.68m²
Ｒｉｎｂａ　Ｓｈｉｎｊｕｋｕ　ｇｙｏｅｎ（リンバ新宿御苑）,マンション,東京都新宿区新宿１丁目,7階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩1分東京メトロ丸ノ内線 新宿三丁目駅/徒歩6分東京メトロ丸ノ内線 四谷三丁目駅/徒歩13分,築6年,鉄筋コンクリート,3階,20.8万円,"15,000円",2ヶ月,1ヶ月,1LDK,41.55m²
アジールコート新宿,マンション,東京都新宿区西新宿３丁目,15階建て, 京王電鉄京王線 新宿駅/徒歩10分京王電鉄京王線 初台駅/徒歩6分小田急小田原線 参宮橋駅/徒歩12分,築6年,鉄筋コンクリート,2階,12.1万円,"8,000円","121,000円",－,1K,25.03m²
Ｌｏｇ都庁前,マンション,東京都新宿区西新宿４丁目,6階建て, 都営大江戸線 都庁前駅/徒歩9分京王電鉄京王線 初台駅/徒歩10分都営大江戸線 西新宿五丁目駅/徒歩8分,築7年,鉄筋コンクリート,3階,11.4万円,"15,000円",－,－,1K,25.71m²
東京都新宿区富久町,マンション,東京都新宿区富久町,7階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ副都心線 新宿三丁目駅/徒歩8分東京メトロ丸ノ内線 四谷三丁目駅/徒歩14分,築7年,鉄筋コンクリート,4階,20万円,"10,000円",1ヶ月,1ヶ月,1LDK,44.86m²
ＰＲＥＭＩＵＭ　ＣＵＢＥ　飯田橋ｍｏ,マンション,東京都新宿区新小川町,4階建て, 東京メトロ東西線 飯田橋駅/徒歩5分東京メトロ東西線 神楽坂駅/徒歩12分東京メトロ丸ノ内線 後楽園駅/徒歩16分,築8年,鉄筋コンクリート,1階,10.95万円,"15,000円",－,"109,500円",1K,25.52m²
グリーニエ西新宿参番館,マンション,東京都新宿区西新宿８丁目,4階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩4分都営大江戸線 都庁前駅/徒歩6分ＪＲ総武線 大久保駅/徒歩10分,築8年,鉄筋コンクリート,2階,12.2万円,"6,000円",1ヶ月,1ヶ月,1R,30.02m²
コンフォリア早稲田,マンション,東京都新宿区弁天町,5階建て, 都営大江戸線 牛込柳町駅/徒歩5分東京メトロ東西線 早稲田駅/徒歩9分都営大江戸線 若松河田駅/徒歩12分,築13年,鉄筋コンクリート,3階,11.9万円,"10,000円","119,000円",－,1K,29.28m²
メゾンカルム西新宿,マンション,東京都新宿区西新宿４丁目,5階建て, 都営大江戸線 西新宿五丁目駅/徒歩5分都営大江戸線 都庁前駅/徒歩11分京王電鉄京王線 初台駅/徒歩12分,築13年,鉄筋コンクリート,4階,16.1万円,"7,000円",1ヶ月,1ヶ月,1LDK,41.75m²
レジディア新宿イーストⅢ,マンション,東京都新宿区新宿５丁目,11階建て, 東京メトロ丸ノ内線 新宿三丁目駅/徒歩6分東京メトロ丸ノ内線 新宿御苑前駅/徒歩7分ＪＲ総武線 新宿駅/徒歩9分,築14年,鉄筋コンクリート,6階,9.9万円,"10,000円",1ヶ月,1ヶ月,1K,20.43m²
エクセレンテ神楽坂,マンション,東京都新宿区山吹町,12階建て, 東京メトロ有楽町線 江戸川橋駅/徒歩6分東京メトロ東西線 神楽坂駅/徒歩9分東京メトロ東西線 早稲田駅/徒歩10分,築15年,鉄筋コンクリート,8階,8.7万円,"5,000円",－,1ヶ月,1R,20.52m²
東京都新宿区西新宿６丁目,マンション,東京都新宿区西新宿６丁目,44階建て, 都営大江戸線 西新宿五丁目駅/徒歩5分都営大江戸線 都庁前駅/徒歩7分東京メトロ丸ノ内線 西新宿駅/徒歩10分,築15年,鉄筋コンクリート,22階,28万円,"18,000円",1ヶ月,1ヶ月,1LDK,55.16m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,2階,13.1万円,"5,000円",－,1ヶ月,1LDK,27.98m²
サンピエス河田町,マンション,東京都新宿区河田町,9階建て, 都営大江戸線 若松河田駅/徒歩5分都営大江戸線 牛込柳町駅/徒歩8分都営新宿線 曙橋駅/徒歩8分,築17年,鉄筋コンクリート,8階,8.8万円,"10,000円",1ヶ月,－,1K,23m²
パレステュディオ新宿都庁前,マンション,東京都新宿区西新宿３丁目,16階建て, 都営大江戸線 都庁前駅/徒歩7分京王電鉄京王線 初台駅/徒歩8分ＪＲ山手線 新宿駅/徒歩12分,築17年,鉄骨鉄筋コンクリート,3階,8.65万円,"8,500円",－,－,1K,22.5m²
リヤドカガヤ,マンション,東京都新宿区四谷４丁目,6階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩3分東京メトロ丸ノ内線 新宿御苑前駅/徒歩7分都営新宿線 曙橋駅/徒歩10分,築17年,鉄筋コンクリート,3階,11.7万円,"6,000円",1ヶ月,1ヶ月,1R,29.7m²
レナトゥス四谷,マンション,東京都新宿区荒木町,6階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分都営新宿線 曙橋駅/徒歩5分ＪＲ総武線 四ツ谷駅/徒歩10分,築17年,鉄筋コンクリート,4階,15.5万円,"10,000円",－,1ヶ月,1LDK,39m²
サンテミリオン飯田橋,マンション,東京都新宿区新小川町,7階建て, 都営大江戸線 飯田橋駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩11分東京メトロ東西線 神楽坂駅/徒歩12分,築18年,鉄筋コンクリート,4階,8万円,"9,000円",－,1ヶ月,1K,21.58m²
西新宿ＶＩＰ　ＲＯＹＡＬ,マンション,東京都新宿区西新宿６丁目,10階建て, 都営大江戸線 西新宿五丁目駅/徒歩5分東京メトロ丸ノ内線 西新宿駅/徒歩8分都営大江戸線 都庁前駅/徒歩10分,築18年,鉄筋コンクリート,4階,12.3万円,"7,000円",1ヶ月,1ヶ月,1K,34.16m²
シティタワー新宿新都心,マンション,東京都新宿区西新宿４丁目,36階建て, 都営大江戸線 西新宿五丁目駅/徒歩2分ＪＲ山手線 新宿駅/徒歩15分東京メトロ丸ノ内線 西新宿駅/徒歩10分,築18年,鉄筋コンクリート,21階,28万円,－,1ヶ月,1ヶ月,1LDK,56.32m²
ＳＡＮＥＩ　ＢＥＬＬＨＩＲＯ（サンエイベルヒロ）,マンション,東京都新宿区三栄町,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩6分都営新宿線 曙橋駅/徒歩7分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分,築19年,鉄筋コンクリート,3階,10.8万円,"9,800円",－,2ヶ月,1R,30.72m²
東京都新宿区舟町,マンション,東京都新宿区舟町,14階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩2分都営新宿線 曙橋駅/徒歩6分東京メトロ丸ノ内線 新宿御苑前駅/徒歩12分,築19年,鉄骨鉄筋コンクリート,14階,11.4万円,"9,000円",1ヶ月,2ヶ月,1K,27.54m²
ポルタ西新宿,マンション,東京都新宿区西新宿５丁目,3階建て, 都営大江戸線 西新宿五丁目駅/徒歩5分東京メトロ丸ノ内線 西新宿駅/徒歩9分ＪＲ山手線 新宿駅/徒歩16分,築18年,鉄筋コンクリート,1階,9.4万円,"8,000円",1ヶ月,1ヶ月,1R,26.34m²
東京都新宿区西新宿８丁目,マンション,東京都新宿区西新宿８丁目,6階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩6分西武鉄道新宿線 西武新宿駅/徒歩6分ＪＲ山手線 新宿駅/徒歩9分,築21年,鉄筋コンクリート,5階,7.9万円,"6,000円",1ヶ月,－,1K,19.38m²
スカイコートヴァンテアン早稲田,マンション,東京都新宿区西早稲田２丁目,13階建て, 東京メトロ副都心線 西早稲田駅/徒歩3分ＪＲ山手線 高田馬場駅/徒歩8分都電荒川線 面影橋駅/徒歩10分,築21年,鉄骨鉄筋コンクリート,2階,10.38万円,"10,200円",1ヶ月,－,1K,34.56m²
東京都新宿区築地町,マンション,東京都新宿区築地町,5階建て, 東京メトロ東西線 神楽坂駅/徒歩6分東京メトロ有楽町線 江戸川橋駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩11分,築22年,ALC,5階,8.2万円,"5,500円",1ヶ月,1ヶ月,1K,22m²
ガラ・ステージ西新宿,マンション,東京都新宿区西新宿４丁目,7階建て, 都営大江戸線 西新宿五丁目駅/徒歩4分都営大江戸線 都庁前駅/徒歩8分東京メトロ丸ノ内線 西新宿駅/徒歩11分,築22年,鉄筋コンクリート,7階,11.1万円,"9,000円",1ヶ月,1ヶ月,1K,29.78m²
