building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.98m²
デュオステージ中落合,マンション,東京都新宿区中落合１丁目,4階建て, 西武鉄道新宿線 中井駅/徒歩5分西武鉄道新宿線 下落合駅/徒歩9分都営大江戸線 落合南長崎駅/徒歩12分,築4年,鉄筋コンクリート,1階,10.5万円,"10,000円",1ヶ月,－,1R,30.69m²
カイゼル,アパート,東京都新宿区上落合１丁目,2階建て, 都営大江戸線 中井駅/徒歩6分西武鉄道新宿線 下落合駅/徒歩6分東京メトロ東西線 落合駅/徒歩9分,築4年,木造,1階,11.9万円,"3,000円",1ヶ月,1ヶ月,1LDK,35.99m²
Ｃｉｅｌ　ＨｉｇａｓｈｉーＳｈｉｎｊｕｋｕ,マンション,東京都新宿区大久保２丁目,3階建て, 東京メトロ副都心線 西早稲田駅/徒歩4分都営大江戸線 東新宿駅/徒歩6分ＪＲ山手線 新大久保駅/徒歩13分,築4年,鉄筋コンクリート,2階,14.5万円,"5,000円",1ヶ月,1ヶ月,1LDK,38.18m²
東京都新宿区早稲田鶴巻町,マンション,東京都新宿区早稲田鶴巻町,10階建て, 東京メトロ有楽町線 江戸川橋駅/徒歩7分東京メトロ東西線 早稲田駅/徒歩9分都電荒川線 早稲田駅/徒歩11分,築5年,鉄筋コンクリート,7階,11万円,"5,500円",－,1ヶ月,1K,25.47m²
東京都新宿区四谷４丁目,マンション,東京都新宿区四谷４丁目,14階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分東京メトロ丸ノ内線 新宿御苑前駅/徒歩7分都営新宿線 曙橋駅/徒歩12分,築5年,鉄筋コンクリート,3階,15.4万円,"15,000円",1ヶ月,－,1R,35.84m²
東京都新宿区中落合１丁目,アパート,東京都新宿区中落合１丁目,2階建て, 都営大江戸線 中井駅/徒歩7分西武鉄道新宿線 下落合駅/徒歩8分,築6年,木造,1階,5万円,"3,000円",－,－,1R,10.08m²
東京都新宿区高田馬場２丁目,アパート,東京都新宿区高田馬場２丁目,2階建て, ＪＲ山手線 高田馬場駅/徒歩7分東京メトロ東西線 早稲田駅/徒歩4分都電荒川線 面影橋駅/徒歩9分,築6年,木造,1階,7.3万円,"3,500円",－,－,1R,11.04m²
リブリ・ヒルサイド銀杏坂,マンション,東京都新宿区市谷薬王寺町,9階建て, 都営大江戸線 牛込柳町駅/徒歩4分都営新宿線 曙橋駅/徒歩9分都営大江戸線 若松河田駅/徒歩12分,築6年,鉄筋コンクリート,7階,13.4万円,"6,000円",－,1ヶ月,1LDK,33.25m²
東京都新宿区原町１丁目,マンション,東京都新宿区原町１丁目,10階建て, 都営大江戸線 牛込柳町駅/徒歩2分都営大江戸線 若松河田駅/徒歩10分都営大江戸線 牛込神楽坂駅/徒歩11分,築7年,鉄筋コンクリート,7階,10.3万円,"15,000円",－,1ヶ月,1K,25.81m²
