building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area,house_area_int,have_living_room,have_kitchen_room,have_dining_room,have_storage_room,have_common_room,have_gift_money,have_deposit,management_fee_int,rent_fee_int,building_age_int,transport1,transport2,transport3,have_convinient_transport,building_floor_int,room_floor_int
メゾンドシエル,マンション,東京都新宿区北新宿２丁目,3階建て, 東京メトロ丸ノ内線 中野坂上駅/徒歩9分東京メトロ丸ノ内線 西新宿駅/徒歩10分ＪＲ総武線 東中野駅/徒歩14分,築9年,鉄筋コンクリート,1階,12.8万円,－,1ヶ月,1ヶ月,1DK,35.47m²,35.47,0,1,1,0,0,1,1,-1.0,128.0,9, 東京メトロ丸ノ内線 中野坂上駅/徒歩9分,京メトロ丸ノ内線 西新宿駅/徒歩10分,Ｒ総武線 東中野駅/徒歩14分,0,3,1
マイネシュロッス四谷２０４号室,マンション,東京都新宿区左門町,14階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩1分都営新宿線 曙橋駅/徒歩8分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩11分,築18年,鉄骨鉄筋コンクリート,2階,11万円,"6,000円",－,－,1K,26.04m²,26.04,0,1,0,0,0,0,0,6.0,110.0,18, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩1分,営新宿線 曙橋駅/徒歩8分,央本線（ＪＲ東日本） 四ツ谷駅/徒歩11分,0,14,2
メゾン・ド・ヴィレ市ヶ谷,マンション,東京都新宿区市谷本村町,8階建て, ＪＲ総武線 市ケ谷駅/徒歩4分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分東京メトロ有楽町線 麹町駅/徒歩17分,築23年,鉄筋コンクリート,2階,8.9万円,"10,000円",－,－,1K,25.85m²,25.85,0,1,0,0,0,0,0,10.0,89.0,23, ＪＲ総武線 市ケ谷駅/徒歩4分,央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分,京メトロ有楽町線 麹町駅/徒歩17分,0,8,2
パインコーポ,アパート,東京都新宿区北新宿２丁目,2階建て, 東京メトロ丸ノ内線 中野坂上駅/徒歩8分東京メトロ丸ノ内線 西新宿駅/徒歩8分ＪＲ総武線 大久保駅/徒歩12分,築33年,木造,1階,7.8万円,－,1ヶ月,1ヶ月,1DK,22.08m²,22.08,0,1,1,0,0,1,1,-1.0,78.0,33, 東京メトロ丸ノ内線 中野坂上駅/徒歩8分,京メトロ丸ノ内線 西新宿駅/徒歩8分,Ｒ総武線 大久保駅/徒歩12分,0,2,1
ＣＬＡＳＳＥＵＭ飯田橋,マンション,東京都新宿区新小川町,8階建て, ＪＲ総武線 飯田橋駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩8分東京メトロ東西線 神楽坂駅/徒歩11分,築0年,鉄筋コンクリート,1階,14.8万円,"10,000円",－,－,2K,30.03m²,30.03,0,1,0,0,0,0,0,10.0,148.0,0, ＪＲ総武線 飯田橋駅/徒歩6分,営大江戸線 牛込神楽坂駅/徒歩8分,京メトロ東西線 神楽坂駅/徒歩11分,1,8,1
ＨＦ西新宿レジデンスＷＥＳＴ,マンション,東京都新宿区西新宿８丁目,12階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩5分ＪＲ総武線 大久保駅/徒歩7分西武鉄道新宿線 西武新宿駅/徒歩7分,築16年,鉄筋コンクリート,4階,13.2万円,"12,000円",1ヶ月,－,1DK,32.64m²,32.64,0,1,1,0,0,0,1,12.0,132.0,16, 東京メトロ丸ノ内線 西新宿駅/徒歩5分,Ｒ総武線 大久保駅/徒歩7分,武鉄道新宿線 西武新宿駅/徒歩7分,0,12,4
ヴィラ若松町,一戸建て,東京都新宿区若松町,2階建て, 都営大江戸線 若松河田駅/徒歩5分都営大江戸線 東新宿駅/徒歩6分都営大江戸線 牛込柳町駅/徒歩13分,築44年,鉄骨造,1階,20万円,－,2ヶ月,1ヶ月,2SLDK,70m²,70.0,1,1,1,1,0,1,1,-1.0,200.0,44, 都営大江戸線 若松河田駅/徒歩5分,営大江戸線 東新宿駅/徒歩6分,営大江戸線 牛込柳町駅/徒歩13分,1,2,1
フレシール中落合,マンション,東京都新宿区中落合１丁目,3階建て, 都営大江戸線 中井駅/徒歩5分西武鉄道新宿線 下落合駅/徒歩8分東京メトロ東西線 落合駅/徒歩12分,築3年,鉄筋コンクリート,3階,5.8万円,"10,000円",－,－,1R,9.14m²,9.14,0,0,0,0,1,0,0,10.0,58.0,3, 都営大江戸線 中井駅/徒歩5分,武鉄道新宿線 下落合駅/徒歩8分,京メトロ東西線 落合駅/徒歩12分,1,3,3
四ッ谷フラッツ,マンション,東京都新宿区荒木町,6階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分都営新宿線 曙橋駅/徒歩7分東京メトロ丸ノ内線 四ツ谷駅/徒歩10分,築16年,鉄骨造,3階,9.7万円,"6,000円",1ヶ月,－,1K,24.59m²,24.59,0,1,0,0,0,0,1,6.0,97.0,16, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分,営新宿線 曙橋駅/徒歩7分,京メトロ丸ノ内線 四ツ谷駅/徒歩10分,0,6,3
トリノマンション,マンション,東京都新宿区富久町,3階建て, 都営新宿線 曙橋駅/徒歩10分東京メトロ副都心線 東新宿駅/徒歩10分東京メトロ丸ノ内線 新宿御苑前駅/徒歩12分,築30年,鉄骨造,2階,9.8万円,"5,000円",－,－,2DK,35.23m²,35.23,0,1,1,0,0,0,0,5.0,98.0,30, 都営新宿線 曙橋駅/徒歩10分,京メトロ副都心線 東新宿駅/徒歩10分,京メトロ丸ノ内線 新宿御苑前駅/徒歩12分,0,3,2
ビーンズ　ハウス,アパート,東京都新宿区原町２丁目,3階建て, 東京メトロ東西線 早稲田駅/徒歩5分都営大江戸線 牛込柳町駅/徒歩7分都営新宿線 曙橋駅/徒歩17分,築2年,木造,2階,12.1万円,"3,000円",1ヶ月,1ヶ月,1LDK,40.05m²,40.05,1,1,1,0,0,1,1,3.0,121.0,2, 東京メトロ東西線 早稲田駅/徒歩5分,営大江戸線 牛込柳町駅/徒歩7分,営新宿線 曙橋駅/徒歩17分,1,3,2
ハナブサワンハイム,アパート,東京都新宿区高田馬場３丁目,2階建て, ＪＲ山手線 高田馬場駅/徒歩7分,築19年,木造,1階,5.6万円,"3,000円",1ヶ月,－,1R,12.2m²,12.2,0,0,0,0,1,0,1,3.0,56.0,19, ＪＲ山手線 高田馬場駅/徒歩7分,,,1,2,1
サンシャインマンション,マンション,東京都新宿区北新宿２丁目,4階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩8分東京メトロ丸ノ内線 中野坂上駅/徒歩10分ＪＲ総武線 大久保駅/徒歩10分,築0年,鉄筋コンクリート,1階,45.76万円,－,6ヶ月,1ヶ月,店舗,85.87m²,85.87,0,0,0,0,0,1,1,-1.0,457.59999999999997,0, 東京メトロ丸ノ内線 西新宿駅/徒歩8分,京メトロ丸ノ内線 中野坂上駅/徒歩10分,Ｒ総武線 大久保駅/徒歩10分,0,4,1
Ｂａｌｍｏｒａｌ（バルモラル）,アパート,東京都新宿区上落合３丁目,3階建て, 東京メトロ東西線 落合駅/徒歩3分西武鉄道新宿線 中井駅/徒歩7分都営大江戸線 東中野駅/徒歩13分,築8年,木造,3階,8.5万円,"2,000円",1ヶ月,1ヶ月,1K,35.6m²,35.6,0,1,0,0,0,1,1,2.0,85.0,8, 東京メトロ東西線 落合駅/徒歩3分,武鉄道新宿線 中井駅/徒歩7分,営大江戸線 東中野駅/徒歩13分,1,3,3
コージー新宿,マンション,東京都新宿区新宿６丁目,3階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ丸ノ内線 新宿三丁目駅/徒歩6分ＪＲ山手線 新宿駅/徒歩13分,築38年,鉄筋コンクリート,3階,5.5万円,"5,000円",1ヶ月,1ヶ月,1K,16.15m²,16.15,0,1,0,0,0,1,1,5.0,55.0,38, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分,京メトロ丸ノ内線 新宿三丁目駅/徒歩6分,Ｒ山手線 新宿駅/徒歩13分,1,3,3
エクスクルーシブ中井ＰＡＲＴⅡ,マンション,東京都新宿区中落合４丁目,4階建て, 都営大江戸線 落合南長崎駅/徒歩5分都営大江戸線 中井駅/徒歩9分東京メトロ東西線 落合駅/徒歩15分,築33年,鉄筋コンクリート,1階,5.8万円,"3,000円",1ヶ月,－,1R,22.02m²,22.02,0,0,0,0,1,0,1,3.0,58.0,33, 都営大江戸線 落合南長崎駅/徒歩5分,営大江戸線 中井駅/徒歩9分,京メトロ東西線 落合駅/徒歩15分,1,4,1
クレール西新宿,アパート,東京都新宿区西新宿４丁目,3階建て, 都営大江戸線 西新宿五丁目駅/徒歩8分京王電鉄京王線 初台駅/徒歩11分都営大江戸線 都庁前駅/徒歩16分,築8年,木造,1階,8.1万円,"2,000円",1ヶ月,1ヶ月,1K,25.05m²,25.05,0,1,0,0,0,1,1,2.0,81.0,8, 都営大江戸線 西新宿五丁目駅/徒歩8分,王電鉄京王線 初台駅/徒歩11分,営大江戸線 都庁前駅/徒歩16分,1,3,1
オープンレジデンシア新宿余丁町,マンション,東京都新宿区余丁町,6階建て, 都営大江戸線 若松河田駅/徒歩4分都営新宿線 曙橋駅/徒歩11分都営大江戸線 東新宿駅/徒歩11分,築7年,鉄筋コンクリート,1階,17.8万円,"12,000円",1ヶ月,1ヶ月,1LDK,50.57m²,50.57,1,1,1,0,0,1,1,12.0,178.0,7, 都営大江戸線 若松河田駅/徒歩4分,営新宿線 曙橋駅/徒歩11分,営大江戸線 東新宿駅/徒歩11分,1,6,1
ＨＪ　ＰＬＡＣＥ　東新宿,マンション,東京都新宿区余丁町,4階建て, 都営大江戸線 若松河田駅/徒歩5分都営新宿線 曙橋駅/徒歩11分都営大江戸線 東新宿駅/徒歩13分,築0年,鉄筋コンクリート,2階,8.4万円,"6,000円",－,－,1R,12m²,12.0,0,0,0,0,1,0,0,6.0,84.0,0, 都営大江戸線 若松河田駅/徒歩5分,営新宿線 曙橋駅/徒歩11分,営大江戸線 東新宿駅/徒歩13分,1,4,2
東京都新宿区西落合１丁目,マンション,東京都新宿区西落合１丁目,5階建て, 都営大江戸線 落合南長崎駅/徒歩7分西武鉄道新宿線 新井薬師前駅/徒歩14分都営大江戸線 中井駅/徒歩13分,築1年,鉄筋コンクリート,2階,9.45万円,"12,000円",－,－,1K,25.51m²,25.51,0,1,0,0,0,0,0,12.0,94.5,1, 都営大江戸線 落合南長崎駅/徒歩7分,武鉄道新宿線 新井薬師前駅/徒歩14分,営大江戸線 中井駅/徒歩13分,1,5,2
市谷鷹匠町レジデンス,マンション,東京都新宿区市谷鷹匠町,5階建て, 東京メトロ南北線 市ケ谷駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩8分都営大江戸線 牛込柳町駅/徒歩14分,築1年,鉄筋コンクリート,5階,13.4万円,"9,000円","134,000円",－,1DK,25.37m²,25.37,0,1,1,0,0,0,1,9.0,134.0,1, 東京メトロ南北線 市ケ谷駅/徒歩6分,営大江戸線 牛込神楽坂駅/徒歩8分,営大江戸線 牛込柳町駅/徒歩14分,1,5,5
パークアクシス神楽坂・早稲田通り,マンション,東京都新宿区東榎町,13階建て, 東京メトロ東西線 神楽坂駅/徒歩5分東京メトロ有楽町線 江戸川橋駅/徒歩8分都営大江戸線 牛込神楽坂駅/徒歩12分,築1年,鉄筋コンクリート,3階,15.3万円,"12,000円",1ヶ月,－,1DK,30.02m²,30.02,0,1,1,0,0,0,1,12.0,153.0,1, 東京メトロ東西線 神楽坂駅/徒歩5分,京メトロ有楽町線 江戸川橋駅/徒歩8分,営大江戸線 牛込神楽坂駅/徒歩12分,1,13,3
スカイコートグレース新宿中落合,マンション,東京都新宿区中落合１丁目,4階建て, 都営大江戸線 中井駅/徒歩8分西武鉄道新宿線 下落合駅/徒歩10分都営大江戸線 落合南長崎駅/徒歩11分,築2年,鉄筋コンクリート,1階,9.67万円,"8,300円",1ヶ月,1ヶ月,1K,25.86m²,25.86,0,1,0,0,0,1,1,8.3,96.7,2, 都営大江戸線 中井駅/徒歩8分,武鉄道新宿線 下落合駅/徒歩10分,営大江戸線 落合南長崎駅/徒歩11分,1,4,1
ザ・パークワンズ山吹神楽坂,マンション,東京都新宿区山吹町,7階建て, 東京メトロ有楽町線 江戸川橋駅/徒歩6分東京メトロ東西線 神楽坂駅/徒歩7分都営大江戸線 牛込柳町駅/徒歩15分,築2年,鉄筋コンクリート,7階,10.4万円,"15,000円","104,000円",－,1K,25.53m²,25.53,0,1,0,0,0,0,1,15.0,104.0,2, 東京メトロ有楽町線 江戸川橋駅/徒歩6分,京メトロ東西線 神楽坂駅/徒歩7分,営大江戸線 牛込柳町駅/徒歩15分,1,7,7
リーブルグラント西新宿　ＷＥＳＴ,マンション,東京都新宿区西新宿８丁目,13階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩5分都営大江戸線 新宿西口駅/徒歩9分ＪＲ山手線 新宿駅/徒歩13分,築2年,鉄筋コンクリート,3階,12.2万円,"10,000円",1ヶ月,1.5ヶ月,1K,25.37m²,25.37,0,1,0,0,0,1,1,10.0,122.0,2, 東京メトロ丸ノ内線 西新宿駅/徒歩5分,営大江戸線 新宿西口駅/徒歩9分,Ｒ山手線 新宿駅/徒歩13分,1,13,3
プレール・ドゥーク新宿Ｗｅｓｔ,マンション,東京都新宿区北新宿２丁目,7階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩7分東京メトロ方南支線 中野坂上駅/徒歩8分ＪＲ総武線 大久保駅/徒歩14分,築2年,鉄筋コンクリート,2階,20.3万円,"15,000円",1ヶ月,－,1LDK,40.55m²,40.55,1,1,1,0,0,0,1,15.0,203.0,2, 東京メトロ丸ノ内線 西新宿駅/徒歩7分,京メトロ方南支線 中野坂上駅/徒歩8分,Ｒ総武線 大久保駅/徒歩14分,0,7,2
ＧＥＮＯＶＩＡ　四谷三丁目　ｇｒｅｅｎ　ｖｅｉｌ,マンション,東京都新宿区大京町,10階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分東京メトロ丸ノ内線 新宿御苑前駅/徒歩8分都営大江戸線 国立競技場駅/徒歩10分,築2年,鉄筋コンクリート,1階,13万円,"10,000円",－,－,1K,25.44m²,25.44,0,1,0,0,0,0,0,10.0,130.0,2, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分,京メトロ丸ノ内線 新宿御苑前駅/徒歩8分,営大江戸線 国立競技場駅/徒歩10分,1,10,1
ピアース神楽坂レジデンス,マンション,東京都新宿区赤城下町,6階建て, 東京メトロ東西線 神楽坂駅/徒歩3分東京メトロ有楽町線 江戸川橋駅/徒歩8分都営大江戸線 牛込神楽坂駅/徒歩9分,築2年,鉄筋コンクリート,1階,21.3万円,"5,000円",1ヶ月,1ヶ月,1LDK,40.8m²,40.8,1,1,1,0,0,1,1,5.0,213.0,2, 東京メトロ東西線 神楽坂駅/徒歩3分,京メトロ有楽町線 江戸川橋駅/徒歩8分,営大江戸線 牛込神楽坂駅/徒歩9分,1,6,1
ＰＡＳＥＯ新宿３丁目Ⅰ,マンション,東京都新宿区新宿６丁目,5階建て, 東京メトロ丸ノ内線 新宿三丁目駅/徒歩7分都営大江戸線 東新宿駅/徒歩8分東京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,築2年,鉄筋コンクリート,1階,21万円,"6,000円",－,－,1LDK,44.6m²,44.6,1,1,1,0,0,0,0,6.0,210.0,2, 東京メトロ丸ノ内線 新宿三丁目駅/徒歩7分,営大江戸線 東新宿駅/徒歩8分,京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,1,5,1
ハーモニーレジデンス新宿四谷,マンション,東京都新宿区大京町,5階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分ＪＲ総武線 信濃町駅/徒歩8分都営大江戸線 国立競技場駅/徒歩8分,築3年,鉄筋コンクリート,1階,12万円,"15,000円",1ヶ月,－,1DK,25.96m²,25.96,0,1,1,0,0,0,1,15.0,120.0,3, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分,Ｒ総武線 信濃町駅/徒歩8分,営大江戸線 国立競技場駅/徒歩8分,1,5,1
ザ・パークハビオ神楽坂香月,マンション,東京都新宿区水道町,8階建て, 東京メトロ有楽町線 江戸川橋駅/徒歩4分東京メトロ東西線 神楽坂駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩13分,築3年,鉄筋コンクリート,1階,12.5万円,"10,000円","125,000円",－,1K,27.49m²,27.49,0,1,0,0,0,0,1,10.0,125.0,3, 東京メトロ有楽町線 江戸川橋駅/徒歩4分,京メトロ東西線 神楽坂駅/徒歩6分,営大江戸線 牛込神楽坂駅/徒歩13分,1,8,1
Ｂｒｉｌｌｉａ　ｉｓｔ　千駄ヶ谷,マンション,東京都新宿区大京町,10階建て, 都営大江戸線 国立競技場駅/徒歩3分ＪＲ総武線 千駄ケ谷駅/徒歩4分ＪＲ総武線 信濃町駅/徒歩10分,築3年,鉄筋コンクリート,3階,12.6万円,"10,000円",1ヶ月,1ヶ月,1K,26.18m²,26.18,0,1,0,0,0,1,1,10.0,126.0,3, 都営大江戸線 国立競技場駅/徒歩3分,Ｒ総武線 千駄ケ谷駅/徒歩4分,Ｒ総武線 信濃町駅/徒歩10分,1,10,3
グランエッグス西新宿Ｓ,アパート,東京都新宿区西新宿３丁目,3階建て, 京王電鉄京王線 初台駅/徒歩6分都営大江戸線 都庁前駅/徒歩11分都営大江戸線 西新宿五丁目駅/徒歩12分,築4年,木造,3階,11.9万円,"4,000円",－,－,1R,27.55m²,27.55,0,0,0,0,1,0,0,4.0,119.0,4, 京王電鉄京王線 初台駅/徒歩6分,営大江戸線 都庁前駅/徒歩11分,営大江戸線 西新宿五丁目駅/徒歩12分,1,3,3
ＡＬＴＥＲＮＡ神楽坂Ⅱ,マンション,東京都新宿区西五軒町,7階建て, 東京メトロ東西線 神楽坂駅/徒歩5分都営大江戸線 飯田橋駅/徒歩10分東京メトロ有楽町線 江戸川橋駅/徒歩8分,築4年,鉄筋コンクリート,2階,11.6万円,"10,000円",－,－,1K,25.05m²,25.05,0,1,0,0,0,0,0,10.0,116.0,4, 東京メトロ東西線 神楽坂駅/徒歩5分,営大江戸線 飯田橋駅/徒歩10分,京メトロ有楽町線 江戸川橋駅/徒歩8分,1,7,2
ＡＬＴＥＲＮＡ神楽坂Ⅰ,マンション,東京都新宿区西五軒町,9階建て, 東京メトロ東西線 神楽坂駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩9分東京メトロ有楽町線 江戸川橋駅/徒歩9分,築4年,鉄筋コンクリート,1階,20.3万円,"15,000円",－,－,1LDK,40.06m²,40.06,1,1,1,0,0,0,0,15.0,203.0,4, 東京メトロ東西線 神楽坂駅/徒歩6分,営大江戸線 牛込神楽坂駅/徒歩9分,京メトロ有楽町線 江戸川橋駅/徒歩9分,1,9,1
飯田橋ガーデンフラッツ,マンション,東京都新宿区新小川町,10階建て, ＪＲ総武線 飯田橋駅/徒歩5分,築4年,鉄筋コンクリート,6階,14.6万円,"15,000円","146,000円","146,000円",1R,32.89m²,32.89,0,0,0,0,1,1,1,15.0,146.0,4, ＪＲ総武線 飯田橋駅/徒歩5分,,,0,10,6
フェリスタ落合,アパート,東京都新宿区上落合３丁目,2階建て, 東京メトロ東西線 落合駅/徒歩1分都営大江戸線 東中野駅/徒歩6分西武鉄道新宿線 中井駅/徒歩10分,築5年,木造,1階,6.4万円,"3,500円",－,1ヶ月,1R,10.03m²,10.03,0,0,0,0,1,1,0,3.5,64.0,5, 東京メトロ東西線 落合駅/徒歩1分,営大江戸線 東中野駅/徒歩6分,武鉄道新宿線 中井駅/徒歩10分,1,2,1
東京都新宿区市谷仲之町,マンション,東京都新宿区市谷仲之町,5階建て, 都営新宿線 曙橋駅/徒歩4分都営大江戸線 牛込柳町駅/徒歩11分東京メトロ丸ノ内線 四谷三丁目駅/徒歩11分,築5年,鉄筋コンクリート,3階,11.2万円,"10,000円",1ヶ月,0.5ヶ月,1K,25.52m²,25.52,0,1,0,0,0,1,1,10.0,112.0,5, 都営新宿線 曙橋駅/徒歩4分,営大江戸線 牛込柳町駅/徒歩11分,京メトロ丸ノ内線 四谷三丁目駅/徒歩11分,1,5,3
リンデンコート市ヶ谷,マンション,東京都新宿区市谷本村町,12階建て, ＪＲ総武線 市ケ谷駅/徒歩7分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩9分東京メトロ有楽町線 麹町駅/徒歩13分,築5年,鉄筋コンクリート,3階,12.4万円,"10,000円",1ヶ月,1ヶ月,1K,28.05m²,28.05,0,1,0,0,0,1,1,10.0,124.0,5, ＪＲ総武線 市ケ谷駅/徒歩7分,央本線（ＪＲ東日本） 四ツ谷駅/徒歩9分,京メトロ有楽町線 麹町駅/徒歩13分,0,12,3
ＺＯＯＭ都庁前,マンション,東京都新宿区西新宿３丁目,15階建て, ＪＲ山手線 新宿駅/徒歩11分都営大江戸線 都庁前駅/徒歩6分京王電鉄京王線 初台駅/徒歩9分,築5年,鉄筋コンクリート,4階,13.4万円,"8,000円",－,－,1K,30.71m²,30.71,0,1,0,0,0,0,0,8.0,134.0,5, ＪＲ山手線 新宿駅/徒歩11分,営大江戸線 都庁前駅/徒歩6分,王電鉄京王線 初台駅/徒歩9分,1,15,4
ｃｏｃｏｔｅｒｒａｃｅ,アパート,東京都新宿区高田馬場２丁目,2階建て, ＪＲ山手線 高田馬場駅/徒歩7分東京メトロ東西線 早稲田駅/徒歩4分都電荒川線 面影橋駅/徒歩9分,築6年,木造,1階,7.3万円,"3,500円",－,－,1R,11.04m²,11.04,0,0,0,0,1,0,0,3.5,73.0,6, ＪＲ山手線 高田馬場駅/徒歩7分,京メトロ東西線 早稲田駅/徒歩4分,電荒川線 面影橋駅/徒歩9分,1,2,1
プレール・ドゥーク東新宿Ⅲ,マンション,東京都新宿区新宿６丁目,13階建て, 都営大江戸線 東新宿駅/徒歩6分都営大江戸線 若松河田駅/徒歩6分ＪＲ山手線 新宿駅/徒歩17分,築6年,鉄筋コンクリート,13階,10.5万円,"8,000円",－,1ヶ月,1K,25.79m²,25.79,0,1,0,0,0,1,0,8.0,105.0,6, 都営大江戸線 東新宿駅/徒歩6分,営大江戸線 若松河田駅/徒歩6分,Ｒ山手線 新宿駅/徒歩17分,1,13,13
アイル新宿イースト,マンション,東京都新宿区余丁町,8階建て, 都営大江戸線 若松河田駅/徒歩4分東京メトロ副都心線 東新宿駅/徒歩10分都営新宿線 曙橋駅/徒歩10分,築6年,鉄筋コンクリート,3階,11.9万円,"10,000円",1ヶ月,1ヶ月,1DK,25.08m²,25.08,0,1,1,0,0,1,1,10.0,119.0,6, 都営大江戸線 若松河田駅/徒歩4分,京メトロ副都心線 東新宿駅/徒歩10分,営新宿線 曙橋駅/徒歩10分,1,8,3
ドムス・スタイル神楽坂,マンション,東京都新宿区東五軒町,11階建て, ＪＲ総武線 飯田橋駅/徒歩9分東京メトロ東西線 神楽坂駅/徒歩11分東京メトロ有楽町線 江戸川橋駅/徒歩9分,築6年,鉄筋コンクリート,7階,11.5万円,"10,000円",－,－,1K,25.5m²,25.5,0,1,0,0,0,0,0,10.0,115.0,6, ＪＲ総武線 飯田橋駅/徒歩9分,京メトロ東西線 神楽坂駅/徒歩11分,京メトロ有楽町線 江戸川橋駅/徒歩9分,0,11,7
東京都新宿区新宿４丁目,マンション,東京都新宿区新宿４丁目,4階建て, 東京メトロ丸ノ内線 新宿三丁目駅/徒歩2分ＪＲ山手線 新宿駅/徒歩5分東京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,築7年,鉄骨造,3階,8.6万円,"5,000円",1ヶ月,1ヶ月,1R,19.3m²,19.3,0,0,0,0,1,1,1,5.0,86.0,7, 東京メトロ丸ノ内線 新宿三丁目駅/徒歩2分,Ｒ山手線 新宿駅/徒歩5分,京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,1,4,3
プライムメゾン市谷山伏町,マンション,東京都新宿区市谷山伏町,13階建て, 都営大江戸線 牛込柳町駅/徒歩4分都営大江戸線 牛込神楽坂駅/徒歩10分都営大江戸線 若松河田駅/徒歩11分,築7年,鉄筋コンクリート,1階,9.6万円,"10,000円",1ヶ月,－,1K,26.29m²,26.29,0,1,0,0,0,0,1,10.0,96.0,7, 都営大江戸線 牛込柳町駅/徒歩4分,営大江戸線 牛込神楽坂駅/徒歩10分,営大江戸線 若松河田駅/徒歩11分,1,13,1
東京都新宿区市谷山伏町,マンション,東京都新宿区市谷山伏町,13階建て, 都営大江戸線 牛込柳町駅/徒歩4分都営大江戸線 牛込神楽坂駅/徒歩10分都営大江戸線 若松河田駅/徒歩11分,築7年,鉄筋コンクリート,1階,9.6万円,"10,000円",1ヶ月,－,1K,26.29m²,26.29,0,1,0,0,0,0,1,10.0,96.0,7, 都営大江戸線 牛込柳町駅/徒歩4分,営大江戸線 牛込神楽坂駅/徒歩10分,営大江戸線 若松河田駅/徒歩11分,1,13,1
ジェノヴィア新宿グリーンヴェール,マンション,東京都新宿区新宿７丁目,14階建て, 都営大江戸線 東新宿駅/徒歩1分東京メトロ副都心線 西早稲田駅/徒歩10分ＪＲ山手線 新大久保駅/徒歩13分,築7年,鉄筋コンクリート,3階,11.6万円,"10,000円",1ヶ月,1ヶ月,1K,26.93m²,26.93,0,1,0,0,0,1,1,10.0,116.0,7, 都営大江戸線 東新宿駅/徒歩1分,京メトロ副都心線 西早稲田駅/徒歩10分,Ｒ山手線 新大久保駅/徒歩13分,1,14,3
ＬＡＰｉＳ四谷三丁目,マンション,東京都新宿区愛住町,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩3分都営新宿線 曙橋駅/徒歩9分東京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,築7年,鉄筋コンクリート,2階,12.8万円,"8,000円",－,－,1R,26.24m²,26.24,0,0,0,0,1,0,0,8.0,128.0,7, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩3分,営新宿線 曙橋駅/徒歩9分,京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,0,4,2
ＢＬＥＳＳ北新宿,マンション,東京都新宿区北新宿１丁目,5階建て, ＪＲ総武線 大久保駅/徒歩8分東京メトロ丸ノ内線 西新宿駅/徒歩10分ＪＲ山手線 新大久保駅/徒歩12分,築7年,鉄筋コンクリート,1階,18.5万円,"12,000円","185,000円","185,000円",1R,45.82m²,45.82,0,0,0,0,1,1,1,12.0,185.0,7, ＪＲ総武線 大久保駅/徒歩8分,京メトロ丸ノ内線 西新宿駅/徒歩10分,Ｒ山手線 新大久保駅/徒歩12分,1,5,1
コンフォリア神楽坂ＤＥＵＸ,マンション,東京都新宿区岩戸町,13階建て, 都営大江戸線 牛込神楽坂駅/徒歩2分東京メトロ東西線 神楽坂駅/徒歩6分都営大江戸線 飯田橋駅/徒歩8分,築9年,鉄筋コンクリート,10階,12.9万円,"8,000円","129,000円",－,1K,26.22m²,26.22,0,1,0,0,0,0,1,8.0,129.0,9, 都営大江戸線 牛込神楽坂駅/徒歩2分,京メトロ東西線 神楽坂駅/徒歩6分,営大江戸線 飯田橋駅/徒歩8分,1,13,10
