building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area,house_area_int,have_living_room,have_kitchen_room,have_dining_room,have_storage_room,have_common_room,have_gift_money,have_deposit,management_fee_int,rent_fee_int,building_age_int,transport1,transport2,transport3,have_convinient_transport,building_floor_int,room_floor_int
ＫＤＸレジデンス神楽坂通,マンション,東京都新宿区矢来町,15階建て, 東京メトロ東西線 神楽坂駅/徒歩2分東京メトロ有楽町線 江戸川橋駅/徒歩10分都営大江戸線 牛込神楽坂駅/徒歩10分,築16年,鉄骨鉄筋コンクリート,14階,12.4万円,"8,000円",1ヶ月,1ヶ月,1R,25.47m²,25.47,0,0,0,0,1,1,1,8.0,124.0,16, 東京メトロ東西線 神楽坂駅/徒歩2分,京メトロ有楽町線 江戸川橋駅/徒歩10分,営大江戸線 牛込神楽坂駅/徒歩10分,1,15,14
東京都新宿区喜久井町,マンション,東京都新宿区喜久井町,7階建て, 東京メトロ東西線 早稲田駅/徒歩2分都営大江戸線 若松河田駅/徒歩10分都営大江戸線 牛込柳町駅/徒歩10分,築17年,鉄筋コンクリート,4階,23.1万円,"8,000円",1ヶ月,－,1LDK,50m²,50.0,1,1,1,0,0,0,1,8.0,231.0,17, 東京メトロ東西線 早稲田駅/徒歩2分,営大江戸線 若松河田駅/徒歩10分,営大江戸線 牛込柳町駅/徒歩10分,1,7,4
カスタリア新宿夏目坂,マンション,東京都新宿区喜久井町,7階建て, 東京メトロ東西線 早稲田駅/徒歩2分都営大江戸線 若松河田駅/徒歩10分都営大江戸線 牛込柳町駅/徒歩10分,築17年,鉄筋コンクリート,4階,23.1万円,"8,000円",1ヶ月,－,1LDK,50m²,50.0,1,1,1,0,0,0,1,8.0,231.0,17, 東京メトロ東西線 早稲田駅/徒歩2分,営大江戸線 若松河田駅/徒歩10分,営大江戸線 牛込柳町駅/徒歩10分,1,7,4
ルーブル神楽坂弐番館,マンション,東京都新宿区矢来町,7階建て, 東京メトロ東西線 神楽坂駅/徒歩4分都営大江戸線 牛込神楽坂駅/徒歩9分東京メトロ有楽町線 江戸川橋駅/徒歩10分,築18年,鉄筋コンクリート,4階,7.9万円,"10,600円",－,1ヶ月,1K,20.25m²,20.25,0,1,0,0,0,1,0,10.6,79.0,18, 東京メトロ東西線 神楽坂駅/徒歩4分,営大江戸線 牛込神楽坂駅/徒歩9分,京メトロ有楽町線 江戸川橋駅/徒歩10分,1,7,4
アデッソ新宿若松町（ＡＤＥＳＳＯ）,マンション,東京都新宿区若松町,12階建て, 都営大江戸線 若松河田駅/徒歩3分都営大江戸線 牛込柳町駅/徒歩8分東京メトロ東西線 早稲田駅/徒歩9分,築18年,鉄骨鉄筋コンクリート,7階,8.2万円,"8,000円",1ヶ月,1ヶ月,1K,21.8m²,21.8,0,1,0,0,0,1,1,8.0,82.0,18, 都営大江戸線 若松河田駅/徒歩3分,営大江戸線 牛込柳町駅/徒歩8分,京メトロ東西線 早稲田駅/徒歩9分,1,12,7
東京都新宿区天神町,マンション,東京都新宿区天神町,11階建て, 東京メトロ東西線 神楽坂駅/徒歩6分東京メトロ有楽町線 江戸川橋駅/徒歩6分東京メトロ東西線 早稲田駅/徒歩11分,築18年,鉄筋コンクリート,10階,8.5万円,"7,000円",－,1ヶ月,1K,20.86m²,20.86,0,1,0,0,0,1,0,7.0,85.0,18, 東京メトロ東西線 神楽坂駅/徒歩6分,京メトロ有楽町線 江戸川橋駅/徒歩6分,京メトロ東西線 早稲田駅/徒歩11分,0,11,10
レキシントンスクエア曙橋,マンション,東京都新宿区余丁町,9階建て, 都営大江戸線 若松河田駅/徒歩6分都営新宿線 曙橋駅/徒歩10分都営大江戸線 東新宿駅/徒歩11分,築18年,鉄筋コンクリート,2階,8.7万円,"10,000円",－,－,1K,23.43m²,23.43,0,1,0,0,0,0,0,10.0,87.0,18, 都営大江戸線 若松河田駅/徒歩6分,営新宿線 曙橋駅/徒歩10分,営大江戸線 東新宿駅/徒歩11分,1,9,2
カスタリア新宿御苑Ⅱ,マンション,東京都新宿区新宿１丁目,10階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩3分都営新宿線 新宿三丁目駅/徒歩8分都営新宿線 曙橋駅/徒歩11分,築18年,鉄筋コンクリート,10階,9.5万円,"12,000円",1ヶ月,－,1K,24.77m²,24.77,0,1,0,0,0,0,1,12.0,95.0,18, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩3分,営新宿線 新宿三丁目駅/徒歩8分,営新宿線 曙橋駅/徒歩11分,0,10,10
ヴェルト新宿イースト,マンション,東京都新宿区大久保１丁目,14階建て, ＪＲ山手線 新大久保駅/徒歩7分東京メトロ副都心線 東新宿駅/徒歩2分ＪＲ湘南新宿ライン 新宿駅/徒歩13分,築18年,鉄筋コンクリート,3階,8.8万円,"10,000円",－,1ヶ月,1K,20.45m²,20.45,0,1,0,0,0,1,0,10.0,88.0,18, ＪＲ山手線 新大久保駅/徒歩7分,京メトロ副都心線 東新宿駅/徒歩2分,Ｒ湘南新宿ライン 新宿駅/徒歩13分,1,14,3
ウエストシティ,マンション,東京都新宿区西新宿３丁目,4階建て, 京王電鉄京王線 初台駅/徒歩8分ＪＲ山手線 新宿駅/徒歩15分小田急小田原線 参宮橋駅/徒歩12分,築19年,鉄筋コンクリート,3階,8万円,－,1ヶ月,1ヶ月,1R,26.46m²,26.46,0,0,0,0,1,1,1,-1.0,80.0,19, 京王電鉄京王線 初台駅/徒歩8分,Ｒ山手線 新宿駅/徒歩15分,田急小田原線 参宮橋駅/徒歩12分,1,4,3
